Class,Vertical,Category,Name,Alias,Datatype,Description,isEnable,ExecLevel,isExposed
Transactional,PAYTM,All,PAYTM_last_transaction_date,Last Transaction Date,Date,Date at which last transaction was made by customer,1,PAYTM,1
Transactional,PAYTM,All,PAYTM_total_discount_transaction_count,Total Discount Transaction Count,Long,Count of all discount transactions done by customer,1,PAYTM,1
Transactional,PAYTM,All,PAYTM_total_discount_transaction_size,Total Discount Transaction Size,Double,Amount of all discount transactions done by customer,0,PAYTM,0
Transactional,PAYTM,All,PAYTM_percentage_discount_by_transaction_count,Percentage Discount By Transaction Count,Double,Percent of discount transactions count out of total transactions count,0,PAYTM,0
Transactional,PAYTM,All,PAYTM_percentage_discount_by_transaction_size,Percentage Discount By Transaction Size,Double,Percent of discount transactions amount out of total transactions amount,0,PAYTM,0
Transactional,PAYTM,All,PAYTM_total_cashback_transaction_count,Total Cashback Transaction Count,Long,Count of all cashback transactions done by customer,1,PAYTM,1
Transactional,PAYTM,All,PAYTM_total_cashback_transaction_size,Total Cashback Transaction Size,Double,Amount of all cashback transactions done by customer,0,PAYTM,0
Transactional,PAYTM,All,PAYTM_percentage_cashback_by_transaction_count,Percentage Cashback By Transaction Count,Double,Percent of cashback transactions count out of total transactions count,1,PAYTM,1
Transactional,PAYTM,All,PAYTM_percentage_cashback_by_transaction_size,Percentage Cashback By Transaction Size,Double,Percent of cashback transactions amount out of total transactions amount,0,PAYTM,0
Transactional,PAYTM,All,PAYTM_promo_usage_dates,Promocodes and Usage Date,Nested,List of promocodes used by customer along with the usage date,1,PAYTM,1
Transactional,PAYTM,All,PAYTM_promo_usage_dates.Promocode,Promocodes and Usage Date,String,List of promocodes used by customer along with the usage date,1,NESTED,1
Transactional,PAYTM,All,PAYTM_promo_usage_dates.Date,Promocodes and Usage Date,Date,List of promocodes used by customer along with the usage date,1,NESTED,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAID_contact_by_SMS,Contact By SMS,Integer,Flag for if the customer can be contacted by SMS,0,LMS,0
Transactional,LMS,Postpaid Collections,LMS_POSTPAID_contact_by_IVR,Contact By IVR,Integer,Flag for if the customer can be contacted by IVR,0,LMS,0
Transactional,LMS,Postpaid Collections,LMS_POSTPAID_contact_by_telecalling,Contact By Telecalling,Integer,Flag for if the customer can be contacted by Telecalling,0,LMS,0
Transactional,LMS,Postpaid Collections,LMS_POSTPAID_account_details,LMS Account Details,Nested,Account details of customer who took the loan,1,LMS,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAID_account_details.AccountNumber,LMS Account Details,String,Account details of customer who took the loan,1,NESTED,1
Transactional,LMS,Postpaid Collections,LMS_POSTPAID_account_details.Status,LMS Account Details,Integer,Account details of customer who took the loan,1,NESTED,1
